!contents -R2 -g -p -f -h
!|fitnessewhite.Guifixture |
|Application |Launch |wab.exe | |
|Application |Waitwhilebusy | | |
|Window |Getbytext |通讯簿 - 主标识 | |
|Window|Focus|||
|Textbox|ClickByText|键入姓名或从列表中选择(Y):||
|Textbox|SetText|test|输入字符|
|Textbox|Text|test|验证输入|
|Textbox|DoubleClickById|9004|双击文本框|
|Textbox|SetText|六个中文字符|输入字符|
|Textbox|Text|六个中文字符|验证输入|
|Textbox |ClickAtRightEdge|||
|Textbox |ClickAtCenter|||
|Textbox |IsFocussed|True||
|Textbox |IsFound|True||
|Textbox |IsVisible|True||
|Textbox |IsEnabled|True||
|Window |Close | | |
